Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
Apartamento;Campo Grande;3;1;0;65;900.0;;
Apartamento;Barra da Tijuca;2;1;1;78;900.0;1200.0;156.0
Apartamento;Taquara;2;1;1;51;1150.0;410.0;340.0
Apartamento;Anil;2;1;0;65;900.0;325.0;25.0
Apartamento;Tijuca;2;0;0;50;1000.0;300.0;
Apartamento;Jardim América;2;0;0;45;1000.0;100.0;
Apartamento;Freguesia (Jacarepaguá);2;0;0;50;1100.0;300.0;135.0
Apartamento;Cachambi;2;1;0;50;1100.0;430.0;14.0
Apartamento;Jacarepaguá;2;1;0;62;1100.0;543.0;17.0
Apartamento;Campo Grande;2;1;0;55;400.0;200.0;
Apartamento;Vila da Penha;2;1;0;60;1100.0;510.0;
Apartamento;Realengo;2;1;0;60;1100.0;270.0;
Apartamento;Penha;2;1;0;60;1000.0;344.0;
Apartamento;Campo Grande;2;0;0;50;1100.0;;
Apartamento;Santíssimo;2;0;0;48;550.0;;
Apartamento;Freguesia (Jacarepaguá);2;1;0;61;1000.0;405.0;38.0
Apartamento;Campo Grande;2;1;1;65;900.0;400.0;
Apartamento;Anil;2;1;0;42;1000.0;402.0;
Apartamento;Campo Grande;2;1;0;45;590.0;305.0;
Apartamento;Campo Grande;2;0;0;55;1000.0;50.0;
Apartamento;Senador Vasconcelos;2;1;1;60;850.0;180.0;
Apartamento;Campo Grande;2;0;0;50;1120.0;;
Apartamento;Praça Seca;3;2;0;48;500.0;295.0;
Apartamento;Vila Valqueire;3;0;0;73;960.0;63.0;
Apartamento;Engenho de Dentro;2;1;0;50;1100.0;480.0;
Apartamento;Curicica;2;1;0;46;1000.0;503.0;13.0
Apartamento;Bangu;2;1;0;60;1000.0;500.0;
Apartamento;Campo Grande;2;1;0;60;600.0;415.0;
Apartamento;Riachuelo;2;0;0;76;1100.0;350.0;180.0
Apartamento;Campo Grande;2;1;0;48;900.0;340.0;
Apartamento;Engenho Novo;3;1;0;60;1100.0;650.0;20.0
Apartamento;Jacarepaguá;2;1;1;65;950.0;529.0;75.0
Apartamento;Santa Cruz;2;1;0;50;400.0;100.0;
Apartamento;Campo Grande;2;1;0;60;1100.0;480.0;
Apartamento;Colégio;2;1;0;75;990.0;;
Apartamento;Praça Seca;2;1;0;93;700.0;700.0;82.0
Apartamento;Engenho de Dentro;3;1;0;63;980.0;650.0;
Apartamento;Santíssimo;2;1;0;54;800.0;220.0;
Apartamento;Bonsucesso;2;0;0;60;900.0;110.0;33.0
Apartamento;Lins de Vasconcelos;2;0;0;46;950.0;507.0;151.0
Apartamento;Todos os Santos;2;0;0;37;800.0;270.0;16.0
Apartamento;Taquara;2;2;0;65;1000.0;220.0;14.0
Apartamento;Vila Isabel;2;0;0;62;1100.0;450.0;47.0
Apartamento;Cachambi;2;1;0;66;900.0;604.0;
Apartamento;Senador Vasconcelos;2;1;1;60;850.0;180.0;
Apartamento;Cachambi;2;0;0;70;800.0;545.0;
Apartamento;Lins de Vasconcelos;2;1;0;54;1100.0;652.0;
Apartamento;Realengo;2;0;0;40;900.0;;60.0
Apartamento;Engenho de Dentro;2;1;0;55;1100.0;270.0;17.0
Apartamento;Jacarepaguá;2;1;0;60;850.0;536.0;17.0
Apartamento;Freguesia (Jacarepaguá);2;0;0;48;700.0;317.0;14.0
Apartamento;Engenho de Dentro;2;0;0;70;1100.0;402.0;34.0
Apartamento;Itanhangá;2;0;0;58;900.0;547.0;34.0
Apartamento;Tomás Coelho;2;0;0;55;650.0;345.0;
Apartamento;Irajá;2;0;0;75;1110.0;;
Apartamento;Taquara;3;1;1;74;950.0;672.0;15.0
Apartamento;Praça Seca;3;1;0;62;730.0;300.0;16.0
Apartamento;Praça Seca;2;1;0;97;850.0;555.0;
Apartamento;Anil;2;1;0;46;1100.0;400.0;13.0
Apartamento;Irajá;2;0;0;31;750.0;;
Apartamento;Cachambi;2;1;0;70;1100.0;512.0;14.0
Apartamento;Campo Grande;2;1;0;55;800.0;550.0;
Apartamento;Pedra de Guaratiba;2;0;0;60;900.0;;
Apartamento;Lins de Vasconcelos;2;1;0;60;1000.0;546.0;13.0
Apartamento;Penha;2;1;0;56;800.0;448.0;28.0
Apartamento;Engenho Novo;2;0;0;60;800.0;620.0;12.0
Apartamento;Cascadura;2;1;0;55;850.0;540.0;
Apartamento;Lins de Vasconcelos;2;1;0;50;800.0;250.0;35.0
Apartamento;Vargem Pequena;2;0;0;53;1100.0;365.0;27.0
